name,current_price,old_price,discount,rating,reviews,image_url,product_url
"Vivo Y04 (4GB,64GB) Dual Sim With Official Warranty","Rs. 26,939","Rs. 32,000",16 % OFF,4,3,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_953gJrCY23jARo0Uo09jzOsCZMnkePQvFHksVeKB.jpg,https://telemart.pk/vivo-y04-4gb64gb-dual-sim-with-official-warranty
"Apple IPad Mini 7 (Wi-Fi, 128GB) 2024","Rs. 144,999","Rs. 148,999",3 % OFF,4,2,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_ZgLBIE1JurvnIZwEzmxEfZ61CiP32Dzh9IOAr2s5.jpg,https://telemart.pk/apple-ipad-mini-7-wi-fi-128gb-2024
Apple iPad Pro 13 Inch M4 Chip 256GB Wi-Fi,"Rs. 373,499","Rs. 379,999",2 % OFF,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_nj5MAwMagcbzVAuCNY1eTlICwp4qABQMwgFHTHEf.jpg,https://telemart.pk/apple-ipad-pro-13-inch-m4-chip-256gb-wi-fi
"Realme Note 60x (3GB,64GB) Dual Sim With Official Warranty","Rs. 19,759","Rs. 22,550",12 % OFF,4,16,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_zs1lTYgXFqZ7KRk7OexOvACxjVPLq5VAMjZsX7eB.jpg,https://telemart.pk/realme-note-60x-8gb64gb-dual-sim-with-official-warranty
Apple iPhone 16 Pro Max 256GB (Physical+eSIM) With Official Warranty,"Rs. 479,999","Rs. 489,000",2 % OFF,4,2,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_nSMkxEWFcBClBcLesVJ7yhLt2F8p2BZpls7RRUk1.jpg,https://telemart.pk/apple-iphone-16-pro-max-256gb-physicalesim-with-official-warranty
"Nothing CMF Phone 1 (8GB,128GB) Dual Sim With Official Warranty","Rs. 71,909","Rs. 75,000",4 % OFF,4,1,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_banFitRPFvEU5BzJE42hUPNEp5pYnCmwqzLiq7Xb.jpg,https://telemart.pk/nothing-cmf-phone-1-8gb128gb-dual-sim-with-official-warranty
"Xiaomi Redmi 14C (6GB,128GB) Dual Sim With Official Warranty","Rs. 28,399","Rs. 33,000",14 % OFF,4,2,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_78NJtB5BK1Wx6FCxwLwntZob1JRmZc247EoQlRNg.jpg,https://telemart.pk/xiaomi-redmi-14c-6gb128gb-dual-sim-with-official-warranty
"Xiaomi Redmi Note 14 Pro (12GB,512GB) Dual Sim With Official Warranty","Rs. 88,399","Rs. 93,000",5 % OFF,4,2,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_OX44Cq4sIysf66UYnxBMXMFl4PEYfxHgs3r8K2RD.jpg,https://telemart.pk/xiaomi-redmi-note-14-pro-12gb-512gb-dual-sim-with-official-warranty
"Xiaomi Redmi Pad Se 8GB,256GB WiFi","Rs. 48,499","Rs. 53,000",8 % OFF,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_few7YXS2pWYRhjvXX9KdT3mSm0JK8OoDUvnFVBqR.jpg,https://telemart.pk/xiaomi-redmi-pad-se-8gb256gb-dual-sim-with-official-warranty
"Samsung Galaxy A16 (6GB,128GB) Dual Sim With Official Warranty","Rs. 48,359","Rs. 53,000",9 % OFF,4,5,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_B3MYJx0UXPNVITJ00BNjCoiXQou2KlTYriR0UTTl.jpg,https://telemart.pk/samsung-galaxy-a16-6gb128gb-dual-sim-with-official-warranty
"Realme Note 60 (4GB,128GB) Dual Sim With Official Warranty","Rs. 26,519","Rs. 30,000",12 % OFF,4,2,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_8bvHnL8dFeo1GbEsPxI9XK31mKs7cL7WoC0ikQ0I.jpg,https://telemart.pk/realme-note-60-4gb128gb-dual-sim-with-official-warranty
"Samsung Galaxy Tab S8+ X800 8GB,128GB WiFi","Rs. 204,999",N/A,N/A,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_vssW7kY7KSYzRIf7e9kjcicfYZ3jS7Qlcb64u53k.jpg,https://telemart.pk/samsung-galaxy-tab-s8-plus-x800-8gb-128gb-wifi
"Apple iPad Mini 6 (Wi-Fi, 256GB) 2021","Rs. 181,999","Rs. 214,999",15 % OFF,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_Iyu0EetIKqcbM9Rw5tkB8DGZBHrjqIt1eVmjANmL.jpg,https://telemart.pk/apple-ipad-mini-6-wi-fi-256gb-2021-flash-deal
"Xiaomi Redmi Note 14 (8GB,128GB) Dual Sim With Official Warranty","Rs. 50,439","Rs. 55,000",8 % OFF,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_l8Zrc6lOatuhAIAGlVh0YJuicv9am43qKI0YuFWH.jpg,https://telemart.pk/xiaomi-redmi-note-14-8gb128gb-dual-sim-with-official-warranty
Calme M16 Dual Sim With Official Warranty,"Rs. 2,419",N/A,N/A,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_bTnBQFjfQiJF9D8QAZp7WF4TAPG7zeuHlHMsFTLe.png,https://telemart.pk/calme-m16-dual-sim-with-official-warranty
"Itel A50C (2GB,32GB) Dual Sim With Official Warranty","Rs. 17,139","Rs. 21,000",18 % OFF,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_vV1UElQHkYkvlNdQi2iVrfmMc5n7PE9qO9SWi7DV.jpg,https://telemart.pk/itel-a50c-2gb32gb-dual-sim-with-official-warranty
"Itel S25 (6GB,128GB) Dual Sim With Official Warranty","Rs. 30,479","Rs. 33,000",8 % OFF,4,2,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_nyk6NDlcmWutnX3eyITYgRwnBxepoJFevJOBTkm8.jpg,https://telemart.pk/itel-s25-12gb128gb-dual-sim-with-official-warranty
"Xiaomi Redmi Note 14 Pro (8GB,256GB) Dual Sim With Official Warranty","Rs. 73,479","Rs. 78,000",6 % OFF,4,3,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_WFFwTr61eNmSkKMOioKgplWZKL3dtloHBdKXfk9n.jpg,https://telemart.pk/xiaomi-redmi-note-14-pro-8gb256gb-dual-sim-with-official-warranty
Baseus Cafule Micro-USB Cable 1 Meter,"Rs. 1,249","Rs. 1,499",17 % OFF,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_zNOrmE5xs8ewaFeFSdLlf5ED1t49a3CopuT9PNRy.png,https://telemart.pk/baseus-cafule-micro-usb-cable-1-meter
Amazon Kindle Paperwhite E-Reader 11th Generation 6.8″ Display 16GB,"Rs. 59,999",N/A,N/A,4,0,https://d1iv6qgcmtzm6l.cloudfront.net/products/lg_LGvCqFdGAPeYD4XblOWMGaqBbIrQdd76UHTYmgD7.jpg,https://telemart.pk/amazon-kindle-paperwhite-e-reader-11th-generation-68-display-16gb
